count,country,city,,SQL Script,,,,,,,
2,United States,Aurora,,SELECT ,,,,,,,
1,Mexico,Acua,,,"COUNT(customer.customer_id),",,,,,,
1,United States,Citrus Heights,,,"country.country,",,,,,,
1,Japan,Iwaki,,,city.city,,,,,,
1,India,Ambattur,,FROM customer,,,,,,,
1,China,Shanwei,,,JOIN address on customer.address_id = address.address_id,,,,,,
1,Brazil,So Leopoldo,,,JOIN city ON address.city_id = city.city_id,,,,,,
1,Russian Federation,Teboksary,,,JOIN country ON city.country_id = country.country_id,,,,,,
1,China,Tianjin,,WHERE country.country IN (,,,,,,,
1,Indonesia,Cianjur,,,,SELECT country.country,,,,,
,,,,,,FROM customer ,,,,,
,,,,,,,JOIN address ON customer.address_id = address.address_id,,,,
,,,,,,,JOIN city ON address.city_id = city.city_id,,,,
,,,,,,,JOIN country ON city.country_id = country.country_id,,,,
,,,,,,,GROUP BY country,,,,
,,,,,,,ORDER BY COUNT(customer_id) DESC,,,,
,,,,,,,LIMIT 10,,,,
,,,,,,),,,,,
,,,,"GROUP BY country, city",,,,,,,
,,,,ORDER BY COUNT(customer_id) DESC,,,,,,,
,,,,LIMIT 10;,,,,,,,
